timestamp,symbol,sector,volume,market_cap,open_price,close_price,price_change
2023-01-01 00:00:00,AMZN,Finance,32574515,484592992640.4914,100.0,99.62733825814645,-0.37
2023-01-01 01:00:00,TSLA,Energy,37653987,747696962190.0973,100.88700344116906,100.54412219880908,-0.34
2023-01-01 02:00:00,MSFT,Healthcare,23461013,474336018569.54865,98.56283244757746,99.37586921278596,0.82
2023-01-01 03:00:00,TSLA,Technology,19458857,58786604997.71345,97.15334083607709,96.80432692197552,-0.36
2023-01-01 04:00:00,TSLA,Healthcare,48204953,957832011187.2157,95.1547479209074,94.87629334638179,-0.29
2023-01-01 05:00:00,GOOGL,Consumer,18443381,942781594775.0182,90.87631852724961,90.31272438672411,-0.62
2023-01-01 06:00:00,MSFT,Energy,20565579,785404353605.26,93.16879743900783,93.30559195465915,0.15
2023-01-01 07:00:00,MSFT,Healthcare,49785616,991336573662.6564,92.55793896457655,92.52682581602562,-0.03
2023-01-01 08:00:00,MSFT,Finance,48380429,544937850467.46265,91.93133289083967,91.40862108786617,-0.57
2023-01-01 09:00:00,TSLA,Consumer,22253537,962805581902.9529,94.68210634003513,94.25943140565113,-0.45
2023-01-01 10:00:00,AMZN,Consumer,38264820,76529435576.13402,93.78075427067932,94.49955250935693,0.77
2023-01-01 11:00:00,MSFT,Healthcare,37789624,366315067513.1099,92.20435430485512,92.21943329259273,0.02
2023-01-01 12:00:00,TSLA,Healthcare,28933715,226155886738.75906,91.78990380840656,91.83657227174069,0.05
2023-01-01 13:00:00,GOOGL,Energy,27906511,196637251050.13577,89.71055214203578,89.7579434569308,0.05
2023-01-01 14:00:00,AMZN,Technology,36489522,141662145943.78342,90.32839906595814,90.9582704590274,0.7
2023-01-01 15:00:00,GOOGL,Healthcare,38491702,622791227924.4307,89.65335311953291,89.18481825797919,-0.52
2023-01-01 16:00:00,AMZN,Healthcare,7739013,781540533891.5577,88.7437814615047,88.5678932744304,-0.2
2023-01-01 17:00:00,TSLA,Finance,8089975,578720101020.9403,87.68967719536342,87.615594673216,-0.08
2023-01-01 18:00:00,AAPL,Consumer,9805586,147815746878.62146,87.5033866252391,86.7503430567874,-0.86
2023-01-01 19:00:00,AMZN,Technology,39373507,811312646163.5375,87.64948424928457,87.247987592146,-0.46
2023-01-01 20:00:00,GOOGL,Finance,45564078,636318752456.5647,86.73797328285666,87.19190554887933,0.52
2023-01-01 21:00:00,TSLA,Energy,48719804,388777540420.8685,86.11560067926027,86.44293188866502,0.38
2023-01-01 22:00:00,AMZN,Energy,12768963,674456165240.5269,85.97519293524788,86.37801546214851,0.47
2023-01-01 23:00:00,AAPL,Healthcare,15263315,260645074263.59003,85.66152424728988,85.4092124153838,-0.29
2023-01-02 00:00:00,AAPL,Healthcare,49085527,345847016285.7163,85.71476454108932,85.51517975181586,-0.23
2023-01-02 01:00:00,MSFT,Energy,4868452,917568357288.8583,84.55475096964466,83.79880380639288,-0.89
2023-01-02 02:00:00,MSFT,Healthcare,30171429,291214001165.74896,86.25361303478589,86.65552664171939,0.47
2023-01-02 03:00:00,GOOGL,Technology,28366868,470518279889.7787,86.42064863768876,86.89451563967255,0.55
2023-01-02 04:00:00,AMZN,Healthcare,9074037,890250996258.6187,85.54979337382638,86.01343944742977,0.54
2023-01-02 05:00:00,AMZN,Consumer,35867175,708013628917.2599,86.1390333465852,86.8299076964564,0.8
2023-01-02 06:00:00,MSFT,Healthcare,28906918,63141022938.53805,86.01091256231351,86.19244228894581,0.21
2023-01-02 07:00:00,AMZN,Finance,14822356,148155741234.69138,83.02835282283891,83.67467949498025,0.78
2023-01-02 08:00:00,AMZN,Technology,44870245,8833749181.144901,83.59452762803126,83.51073472676141,-0.1
2023-01-02 09:00:00,AAPL,Finance,46677485,631290868438.9342,81.89002483998817,81.16652222657406,-0.88
2023-01-02 10:00:00,MSFT,Finance,41562875,448225751985.00793,83.4204311275879,83.77944124587553,0.43
2023-01-02 11:00:00,TSLA,Consumer,44281526,135140576051.37326,83.01709394555931,82.26832578035312,-0.9
2023-01-02 12:00:00,MSFT,Technology,44420892,957976186935.7136,84.3122773288124,84.38402794080648,0.09
2023-01-02 13:00:00,TSLA,Technology,8303693,530130064221.67426,83.24957410011321,83.64722559838593,0.48
2023-01-02 14:00:00,AAPL,Technology,20992066,242651400818.77628,83.36600573424504,83.50116653749329,0.16
2023-01-02 15:00:00,GOOGL,Technology,11108631,501102967583.55286,85.38386906630683,86.35649510650592,1.14
2023-01-02 16:00:00,AMZN,Technology,45613348,679940712402.3727,84.92447559479176,84.08969815036912,-0.98
2023-01-02 17:00:00,AAPL,Consumer,8983439,77162978755.59091,83.92097894914026,83.88621020536227,-0.04
2023-01-02 18:00:00,AMZN,Healthcare,29727993,275429111232.8441,85.02041194034052,85.02783229457248,0.01
2023-01-02 19:00:00,GOOGL,Finance,26464695,807158525393.1096,86.10129615654894,85.52265118334407,-0.67
2023-01-02 20:00:00,GOOGL,Technology,42822973,460205205532.2586,85.15633592351297,84.66509763804852,-0.58
2023-01-02 21:00:00,AAPL,Healthcare,10546263,547030564890.26263,81.77484421115825,81.42929290871457,-0.42
2023-01-02 22:00:00,GOOGL,Healthcare,20726497,433383186207.25977,80.77715353215515,80.33302164064197,-0.55
2023-01-02 23:00:00,TSLA,Finance,25133277,44856042700.362114,81.87145701374979,81.82724861695677,-0.05
2023-01-03 00:00:00,GOOGL,Consumer,35849361,166584030040.3358,80.60239344727798,80.35939137669315,-0.3
2023-01-03 01:00:00,AMZN,Energy,37059026,446096097103.149,80.58476113042515,80.7128539863937,0.16
2023-01-03 02:00:00,AMZN,Energy,19020510,209976279942.5199,79.52509579696775,79.78332589715909,0.32
2023-01-03 03:00:00,AMZN,Healthcare,32386811,50929049631.01906,76.45198022305496,76.67437099066805,0.29
2023-01-03 04:00:00,AMZN,Finance,42266066,843806014387.7719,75.41914275129291,75.26448590213471,-0.21
2023-01-03 05:00:00,TSLA,Energy,36969234,981211336634.9517,76.43448355047019,76.54320228957425,0.14
2023-01-03 06:00:00,MSFT,Healthcare,34997463,793349731122.7427,72.81110306650916,73.1879474575235,0.52
2023-01-03 07:00:00,AAPL,Consumer,27256492,853931136782.9624,73.17831472541887,73.34134305121499,0.22
2023-01-03 08:00:00,AMZN,Energy,16663645,242735153186.72833,71.44242377538923,72.10647313656634,0.93
2023-01-03 09:00:00,GOOGL,Healthcare,20567589,960666348537.6865,72.31179529879223,72.66691092798148,0.49
2023-01-03 10:00:00,AMZN,Healthcare,29849268,197728778748.97495,73.34486899217116,73.97505070026426,0.86
2023-01-03 11:00:00,GOOGL,Technology,32632286,951478380551.4705,73.09263901698031,72.18177933419909,-1.25
2023-01-03 12:00:00,GOOGL,Consumer,8061183,994824474671.9851,72.84460914733089,72.87982081862259,0.05
2023-01-03 13:00:00,AMZN,Technology,21064274,712011082940.3027,71.66982563725325,71.55374470794582,-0.16
2023-01-03 14:00:00,TSLA,Finance,12592111,981162588060.03,69.74107108393515,69.69748998265568,-0.06
2023-01-03 15:00:00,GOOGL,Technology,30324003,569970239787.5366,72.1096074456901,71.819380906723,-0.4
2023-01-03 16:00:00,GOOGL,Technology,1290998,260282241392.91425,70.86200822517425,71.00238565101841,0.2
2023-01-03 17:00:00,AMZN,Energy,5855920,437558889779.95526,73.08395187205907,72.42314269968746,-0.9
2023-01-03 18:00:00,GOOGL,Healthcare,7367712,593967374443.4072,71.8276386812033,71.97252826728828,0.2
2023-01-03 19:00:00,GOOGL,Consumer,45991633,74008480464.98798,72.58210239312366,72.30204027911833,-0.39
2023-01-03 20:00:00,AMZN,Technology,8997043,622720921352.6289,70.93041367781147,70.75295071595714,-0.25
2023-01-03 21:00:00,AMZN,Consumer,1181360,981196658925.5322,71.67290617912678,71.83004966007412,0.22
2023-01-03 22:00:00,AAPL,Technology,20221242,190917542133.9439,71.20619033707987,71.23423764650374,0.04
2023-01-03 23:00:00,TSLA,Finance,20292635,792802521172.095,70.76112863267018,71.13401179857364,0.53
2023-01-04 00:00:00,TSLA,Technology,6532410,907990894985.8397,71.6244471923907,71.27724642910418,-0.48
2023-01-04 01:00:00,GOOGL,Energy,5138286,943757891227.4006,70.95240737381323,70.92377607224584,-0.04
2023-01-04 02:00:00,TSLA,Healthcare,49268283,960175468801.0417,68.92579589703085,69.23209286934025,0.44
2023-01-04 03:00:00,GOOGL,Finance,12031669,521938179082.7505,69.97526773460753,70.10164297848091,0.18
2023-01-04 04:00:00,AAPL,Technology,9333100,977330600083.5122,68.37157372298236,68.51706646736591,0.21
2023-01-04 05:00:00,AMZN,Consumer,7893728,757552896927.3044,69.07787571477049,69.46058194906065,0.55
2023-01-04 06:00:00,AMZN,Finance,49006403,162509764800.72495,70.42212640335877,70.27908411793527,-0.2
2023-01-04 07:00:00,AMZN,Finance,19904815,477423206361.502,69.89326484479109,69.67770322549534,-0.31
2023-01-04 08:00:00,TSLA,Technology,28391022,718612844196.632,71.54603485423307,71.7520532488204,0.29
2023-01-04 09:00:00,AAPL,Finance,39488026,248092975503.26425,72.23542913332997,72.18145789573975,-0.07
